"Leeftijd";"Perioden";"aantal"
"30 tot 40 jaar";"2018";"9"
"30 tot 40 jaar";"2019";"8"
"30 tot 40 jaar";"2020";"6"
"30 tot 40 jaar";"2021";"4"
"30 tot 40 jaar";"2022";"8"
"30 tot 40 jaar";"2023";"9"
"40 tot 50 jaar";"1996";"14"
"40 tot 50 jaar";"1997";"23"
"40 tot 50 jaar";"1998";"12"
"40 tot 50 jaar";"1999";"18"
"40 tot 50 jaar";"2000";"15"
"40 tot 50 jaar";"2001";"20"
"40 tot 50 jaar";"2002";"16"
"40 tot 50 jaar";"2003";"12"
"40 tot 50 jaar";"2004";"14"
"40 tot 50 jaar";"2005";"16"
"40 tot 50 jaar";"2006";"22"
"40 tot 50 jaar";"2007";"17"
"40 tot 50 jaar";"2008";"15"
"40 tot 50 jaar";"2009";"10"
"40 tot 50 jaar";"2010";"11"
"40 tot 50 jaar";"2011";"14"
"40 tot 50 jaar";"2012";"15"
"40 tot 50 jaar";"2013";"13"
"40 tot 50 jaar";"2014";"16"
"40 tot 50 jaar";"2015";"8"
"40 tot 50 jaar";"2016";"13"
"40 tot 50 jaar";"2017";"16"
"40 tot 50 jaar";"2018";"12"
"40 tot 50 jaar";"2019";"10"
"40 tot 50 jaar";"2020";"10"
"40 tot 50 jaar";"2021";"5"
"40 tot 50 jaar";"2022";"9"
"40 tot 50 jaar";"2023";"15"
"50 tot 60 jaar";"1996";"20"
"50 tot 60 jaar";"1997";"23"
"50 tot 60 jaar";"1998";"30"
"50 tot 60 jaar";"1999";"27"
"50 tot 60 jaar";"2000";"23"
"50 tot 60 jaar";"2001";"30"
"50 tot 60 jaar";"2002";"15"
"50 tot 60 jaar";"2003";"25"
"50 tot 60 jaar";"2004";"22"
"50 tot 60 jaar";"2005";"22"
"50 tot 60 jaar";"2006";"22"
"50 tot 60 jaar";"2007";"17"
"50 tot 60 jaar";"2008";"20"
"50 tot 60 jaar";"2009";"19"
"50 tot 60 jaar";"2010";"16"
"50 tot 60 jaar";"2011";"17"
"50 tot 60 jaar";"2012";"12"
"50 tot 60 jaar";"2013";"20"
"50 tot 60 jaar";"2014";"16"
"50 tot 60 jaar";"2015";"13"
"50 tot 60 jaar";"2016";"17"
"50 tot 60 jaar";"2017";"15"
"50 tot 60 jaar";"2018";"34"
"50 tot 60 jaar";"2019";"14"
"50 tot 60 jaar";"2020";"25"
"50 tot 60 jaar";"2021";"17"
"50 tot 60 jaar";"2022";"27"
"50 tot 60 jaar";"2023";"25"
"60 tot 70 jaar";"1996";"28"
"60 tot 70 jaar";"1997";"31"
"60 tot 70 jaar";"1998";"46"
"60 tot 70 jaar";"1999";"30"
"60 tot 70 jaar";"2000";"34"
"60 tot 70 jaar";"2001";"28"
"60 tot 70 jaar";"2002";"24"
"60 tot 70 jaar";"2003";"41"
"60 tot 70 jaar";"2004";"24"
"60 tot 70 jaar";"2005";"23"
"60 tot 70 jaar";"2006";"39"
"60 tot 70 jaar";"2007";"19"
"60 tot 70 jaar";"2008";"28"
"60 tot 70 jaar";"2009";"33"
"60 tot 70 jaar";"2010";"23"
"60 tot 70 jaar";"2011";"32"
"60 tot 70 jaar";"2012";"35"
"60 tot 70 jaar";"2013";"28"
"60 tot 70 jaar";"2014";"27"
"60 tot 70 jaar";"2015";"36"
"60 tot 70 jaar";"2016";"27"
"60 tot 70 jaar";"2017";"34"
"60 tot 70 jaar";"2018";"32"
"60 tot 70 jaar";"2019";"27"
"60 tot 70 jaar";"2020";"38"
"60 tot 70 jaar";"2021";"34"
"60 tot 70 jaar";"2022";"40"
"60 tot 70 jaar";"2023";"35"
"70 tot 80 jaar";"1996";"70"
"70 tot 80 jaar";"1997";"54"
"70 tot 80 jaar";"1998";"37"
"70 tot 80 jaar";"1999";"40"
"70 tot 80 jaar";"2000";"51"
"70 tot 80 jaar";"2001";"48"
"70 tot 80 jaar";"2002";"38"
"70 tot 80 jaar";"2003";"47"
"70 tot 80 jaar";"2004";"37"
"70 tot 80 jaar";"2005";"44"
"70 tot 80 jaar";"2006";"44"
"70 tot 80 jaar";"2007";"45"
"70 tot 80 jaar";"2008";"47"
"70 tot 80 jaar";"2009";"44"
"70 tot 80 jaar";"2010";"42"
"70 tot 80 jaar";"2011";"46"
"70 tot 80 jaar";"2012";"61"
"70 tot 80 jaar";"2013";"53"
"70 tot 80 jaar";"2014";"56"
"70 tot 80 jaar";"2015";"48"
"70 tot 80 jaar";"2016";"47"
"70 tot 80 jaar";"2017";"52"
"70 tot 80 jaar";"2018";"52"
"70 tot 80 jaar";"2019";"65"
"70 tot 80 jaar";"2020";"74"
"70 tot 80 jaar";"2021";"52"
"70 tot 80 jaar";"2022";"84"
"70 tot 80 jaar";"2023";"75"
"80 jaar of ouder";"1996";"37"
"80 jaar of ouder";"1997";"40"
"80 jaar of ouder";"1998";"25"
"80 jaar of ouder";"1999";"31"
"80 jaar of ouder";"2000";"29"
"80 jaar of ouder";"2001";"29"
"80 jaar of ouder";"2002";"31"
"80 jaar of ouder";"2003";"36"
"80 jaar of ouder";"2004";"29"
"80 jaar of ouder";"2005";"29"
"80 jaar of ouder";"2006";"45"
"80 jaar of ouder";"2007";"43"
"80 jaar of ouder";"2008";"32"
"80 jaar of ouder";"2009";"38"
"80 jaar of ouder";"2010";"38"
"80 jaar of ouder";"2011";"59"
"80 jaar of ouder";"2012";"46"
"80 jaar of ouder";"2013";"43"
"80 jaar of ouder";"2014";"38"
"80 jaar of ouder";"2015";"51"
"80 jaar of ouder";"2016";"61"
"80 jaar of ouder";"2017";"63"
"80 jaar of ouder";"2018";"66"
"80 jaar of ouder";"2019";"54"
"80 jaar of ouder";"2020";"55"
"80 jaar of ouder";"2021";"67"
"80 jaar of ouder";"2022";"95"
"80 jaar of ouder";"2023";"78"
